codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3527009,Lindóia (SP),2022,7014,784.227747978395,321980,SP,-22.513376754144282,-46.655047351707815
3531209,Monte Alegre do Sul (SP),2022,8627,821.3166306889711,284876,SP,-22.704306857748634,-46.66765916951568
3537107,Pedreira (SP),2022,43112,1138.8212153933764,1636577,SP,-22.75470063957111,-46.88856257313319
3551603,Serra Negra (SP),2022,29894,1062.015385504532,896883,SP,-22.58909517466625,-46.6872873001636
3552106,Socorro (SP),2022,40122,1123.532180375207,1269084,SP,-22.611161045876443,-46.52438172672539
3500808,Alfredo Marcondes (SP),2022,4445,705.5219070161389,129965,SP,-21.934979912303884,-51.395667945270034
3501301,Álvares Machado (SP),2022,27255,1043.0521109683368,820451,SP,-22.13146459485937,-51.514882707490855
3502408,Anhumas (SP),2022,4023,688.8640070138088,100740,SP,-22.362016100488752,-51.427755980312
3508900,Caiabu (SP),2022,3712,675.5732143796556,70621,SP,-21.949730597934266,-51.223890046699914
3509106,Caiuá (SP),2022,5466,740.6844042341718,91473,SP,-21.801337663208592,-51.98652332326721
3515301,Estrela do Norte (SP),2022,2703,624.4346171517011,56385,SP,-22.485626587063145,-51.66908212228191
3519907,Iepê (SP),2022,7619,798.9500182643687,476847,SP,-22.64859929757632,-51.057178846058726
3520608,Indiana (SP),2022,5090,728.4679018102204,90275,SP,-22.133226654383172,-51.26255846516201
3525607,João Ramalho (SP),2022,4371,702.7044885643933,119071,SP,-22.277882626901015,-50.79909564593785
3528700,Marabá Paulista (SP),2022,4573,710.299151476467,139887,SP,-22.127676193834088,-52.056547185880866
3529203,Martinópolis (SP),2022,24881,1024.5204457541113,766182,SP,-22.172130488275158,-51.12335515834886
3530201,Mirante do Paranapanema (SP),2022,15917,936.083920594165,585090,SP,-22.349221075498008,-51.99788644898425
3532207,Narandiba (SP),2022,5713,748.3114261549212,741379,SP,-22.56365763451882,-51.52167686472022
3538303,Piquerobi (SP),2022,3264,654.5956752851755,75045,SP,-21.85260074127888,-51.731486114943166
3539202,Pirapozinho (SP),2022,25348,1028.2882984691785,1226916,SP,-22.479046080067352,-51.61959440111722
3541208,Presidente Bernardes (SP),2022,14490,917.9966239051193,336492,SP,-22.10716127760237,-51.62020879572362
3541307,Presidente Epitácio (SP),2022,39505,1120.249197258353,1570778,SP,-21.91039648347655,-52.174601598439544
