Regiao_i,Hub_k,O_i,N_col_i,R_col_i,d_ik_km,L_acesso_col_ik_km,L_interno_col_i_km,Dist_col_ik_km,TC_col_ik_reais,C_col_ik_reais_por_pacote
São José do Rio Preto,Araçatuba,1225.189183,1225.189183,9,113.77080691120292,2047.8745244016527,5417.2293042019055,7465.103828603558,18662.759571508897,15.232553331732197
Bauru,São Paulo,2594.5555630000003,2594.5555630000003,18,271.0259613935641,9756.934610168308,7479.80153905704,17236.736149225348,43091.84037306337,16.60856332682954
Bauru,Campinas,2594.5555630000003,2594.5555630000003,18,187.23165323648885,6740.339516513599,7479.80153905704,14220.141055570639,35550.3526389266,13.701904536521422
Bauru,Sorocaba,2594.5555630000003,2594.5555630000003,18,175.28363035755874,6310.210692872114,7479.80153905704,13790.012231929155,34475.03057982289,13.287451258110861
Bauru,Ribeirão Preto,2594.5555630000003,2594.5555630000003,18,189.45865762927292,6820.511674653825,7479.80153905704,14300.313213710866,35750.78303427716,13.779154913506533
Bauru,São José dos Campos,2594.5555630000003,2594.5555630000003,18,350.6285666647258,12622.628399930129,7479.80153905704,20102.429938987167,50256.07484746791,19.369820235939926
Bauru,São José do Rio Preto,2594.5555630000003,2594.5555630000003,18,194.2371369680524,6992.536930849887,7479.80153905704,14472.338469906927,36180.846174767314,13.944910909108678
Bauru,Araraquara,2594.5555630000003,2594.5555630000003,18,100.43636518949987,3615.709146821995,7479.80153905704,11095.510685879035,27738.77671469759,10.69114769029041
Bauru,Marília,2594.5555630000003,2594.5555630000003,18,122.03883303050095,4393.3979890980345,7479.80153905704,11873.199528155073,29682.998820387686,11.440494566270225
Bauru,Presidente Prudente,2594.5555630000003,2594.5555630000003,18,270.18637533582864,9726.70951208983,7479.80153905704,17206.51105114687,43016.27762786717,16.579439747333392
Bauru,Araçatuba,2594.5555630000003,2594.5555630000003,18,222.97560604983002,8027.121817793881,7479.80153905704,15506.92335685092,38767.3083921273,14.9417915518841
Araraquara,São Paulo,2625.707168,2625.707168,18,248.89719754679714,8960.299111684697,6682.194651354454,15642.49376303915,39106.234407597876,14.893600811314036
Araraquara,Campinas,2625.707168,2625.707168,18,144.2673656090199,5193.625161924716,6682.194651354454,11875.81981327917,29689.549533197925,11.307258438804675
Araraquara,Sorocaba,2625.707168,2625.707168,18,198.62286828700144,7150.423258332052,6682.194651354454,13832.617909686505,34581.544774216265,13.170373755180405
Araraquara,Ribeirão Preto,2625.707168,2625.707168,18,102.91351831187956,3704.886659227664,6682.194651354454,10387.081310582118,25967.703276455293,9.889794106870982
Araraquara,São José dos Campos,2625.707168,2625.707168,18,297.0853374296483,10695.07214746734,6682.194651354454,17377.266798821795,43443.16699705449,16.54532063838068
Araraquara,São José do Rio Preto,2625.707168,2625.707168,18,196.54403585431328,7075.585290755278,6682.194651354454,13757.779942109733,34394.44985527433,13.09911869626824
Araraquara,Bauru,2625.707168,2625.707168,18,100.43636518949987,3615.709146821995,6682.194651354454,10297.903798176449,25744.75949544112,9.80488601668818
Araraquara,Marília,2625.707168,2625.707168,18,215.6135272857426,7762.0869822867335,6682.194651354454,14444.281633641189,36110.704084102974,13.752753743521401
Araraquara,Presidente Prudente,2625.707168,2625.707168,18,348.9977634847596,12563.919485451346,6682.194651354454,19246.1141368058,48115.285342014504,18.32469588703751
Araraquara,Araçatuba,2625.707168,2625.707168,18,270.0834043986802,9723.002558352488,6682.194651354454,16405.19720970694,41012.99302426735,15.619789412962959
Marília,São Paulo,975.685918,975.685918,7,374.8281077403839,5247.593508365375,3877.582687263262,9125.176195628637,22812.940489071592,23.381438707073347
